address,station_name
"1245 Broadway, Oakland, CA 94612","12th St. Oakland City Center"
"2000 Mission Street, San Francisco, CA 94110","16th St. Mission (SF)"
"1900 Broadway, Oakland, CA 94612","19th St. Oakland"
"2800 Mission Street, San Francisco, CA 94110","24th St. Mission (SF)"
"3100 Adeline Street, Berkeley, CA 94703","Ashby (Berkeley)"
"401 Geneva Avenue, San Francisco, CA 94112","Balboa Park (SF)"
"15242 Hesperian Blvd., San Leandro, CA 94578","Bay Fair (San Leandro)"
"3301 Norbridge Dr., Castro Valley, CA 94546","Castro Valley"
"1150 Market Street, San Francisco, CA 94102","Civic Center/UN Plaza (SF)"
"7200 San Leandro St., Oakland, CA 94621","Coliseum"
"365 D Street, Colma, CA 94014","Colma"
"1451 Oakland Avenue, Concord, CA 94520","Concord"
"500 John Daly Blvd., Daly City, CA 94014","Daly City"
"2160 Shattuck Avenue, Berkeley, CA 94704","Downtown Berkeley"
"5801 Owens Dr., Pleasanton, CA 94588","Dublin/Pleasanton"
"6400 Cutting Blvd., El Cerrito, CA 94530","El Cerrito del Norte"
"6699 Fairmount Avenue, El Cerrito, CA 94530","El Cerrito Plaza"
"298 Market Street, San Francisco, CA 94111","Embarcadero (SF)"
"2000 BART Way, Fremont, CA 94536","Fremont"
"3401 East 12th Street, Oakland, CA 94601","Fruitvale (Oakland)"
"2901 Diamond Street, San Francisco, CA 94131","Glen Park (SF)"
"699 B Street, Hayward, CA 94541","Hayward"
"3601 Deer Hill Road, Lafayette, CA 94549","Lafayette"
"800 Madison Street, Oakland, CA 94607","Lake Merritt (Oakland)"
"555 40th Street, Oakland, CA 94609","MacArthur (Oakland)"
"200 North Rollins Road, Millbrae, CA 94030","Millbrae"
"598 Market Street, San Francisco, CA 94104","Montgomery St. (SF)"
"1750 Sacramento Street, Berkeley, CA 94702","North Berkeley"
"3700 Port Chicago Highway, Concord, CA 94520","North Concord/Martinez"
"4 Airport Drive, Oakland, CA 94621","Oakland Int'l Airport"
"11 Camino Pablo, Orinda, CA 94563","Orinda"
"1700 West Leland Road, Pittsburg, CA 94565","Pittsburg/Bay Point"
"1365 Treat Blvd., Walnut Creek, CA 94597","Pleasant Hill/Contra Costa Centre"
"899 Market Street, San Francisco, CA 94102","Powell St. (SF)"
"1700 Nevin Avenue, Richmond, CA 94801","Richmond"
"5660 College Avenue, Oakland, CA 94618","Rockridge (Oakland)"
"1151 Huntington Avenue, San Bruno, CA 94066","San Bruno"
"International Terminal, Level 3, San Francisco Intl Airport, CA 94128","San Francisco Int'l Airport"
"1401 San Leandro Blvd., San Leandro, CA 94577","San Leandro"
"28601 Dixon Street, Hayward, CA 94544","South Hayward"
"1333 Mission Road, South San Francisco, CA 94080","South San Francisco"
"10 Union Square, Union City, CA 94587","Union City"
"200 Ygnacio Valley Road, Walnut Creek, CA 94596","Walnut Creek"
"6501 Golden Gate Drive, Dublin, CA 94568","West Dublin/Pleasanton"
"1451 7th Street, Oakland, CA 94607","West Oakland"